Order_ID,Customer_ID,Customer_Name,Age,Gender,City,Product,Category,Quantity,Unit_Price,Discount,Payment_Method,Order_Date,Sales
ORD10001,CUST2774,Riya Kulkarni,60,Female,Ahmedabad,Tablet,Electronics,3,22000,0.05,Net Banking,2025-01-01,62700.0
ORD10002,CUST2352,Amit More,22,Male,Ahmedabad,Keyboard,Accessories,3,1800,0.0,Debit Card,2025-09-07,5400.0
ORD10003,CUST2318,Ananya Kulkarni,42,Male,Chennai,Smartwatch,Electronics,5,6000,0.0,Net Banking,2025-04-29,30000.0
ORD10004,CUST2518,Sneha Singh,18,Female,Kolkata,Mouse,Accessories,3,900,0.05,UPI,2025-04-04,2565.0
ORD10005,CUST1184,Suresh Khan,51,Male,Mumbai,Tablet,Electronics,3,22000,0.0,Debit Card,2025-08-09,66000.0
ORD10006,CUST1212,Kavya More,20,Female,Nashik,Camera,Electronics,2,35000,0.1,Debit Card,2025-11-21,63000.0
ORD10007,CUST2275,Amit Joshi,34,Male,Hyderabad,Headphones,Electronics,3,2500,0.0,UPI,2025-06-16,7500.0
ORD10008,CUST2763,Neha Kulkarni,49,Male,Pune,Tablet,Electronics,5,22000,0.05,Debit Card,2025-06-04,104500.0
ORD10009,CUST1167,Priya Joshi,41,Male,Chennai,Smartwatch,Electronics,1,6000,0.0,UPI,2025-10-13,6000.0
ORD10010,CUST2567,Suresh Joshi,19,Male,Kolkata,Mouse,Accessories,1,900,0.0,Debit Card,2025-07-14,900.0
ORD10011,CUST2872,Meera Verma,18,Female,Chennai,Keyboard,Accessories,1,1800,0.05,UPI,2025-12-07,1710.0
ORD10012,CUST2687,Suresh Khan,51,Female,Mumbai,Smartwatch,Electronics,5,6000,0.1,Debit Card,2025-09-19,27000.0
ORD10013,CUST2186,Rohan Kulkarni,25,Male,Chennai,Smartwatch,Electronics,1,6000,0.2,Credit Card,2025-02-15,4800.0
ORD10014,CUST2632,Riya Gupta,62,Male,Chennai,Headphones,Electronics,2,2500,0.15,Credit Card,2025-11-12,4250.0
ORD10015,CUST2297,Sneha Kulkarni,63,Female,Mumbai,Monitor,Electronics,5,14000,0.15,UPI,2025-08-12,59500.0
ORD10016,CUST1875,Riya Verma,61,Female,Kolkata,Mouse,Accessories,5,900,0.0,Credit Card,2025-02-24,4500.0
ORD10017,CUST2560,Meera Deshmukh,26,Male,Pune,Mobile Phone,Electronics,5,25000,0.05,Credit Card,2025-07-06,118750.0
ORD10018,CUST2443,Aditya More,45,Male,Hyderabad,Smartwatch,Electronics,3,6000,0.0,UPI,2025-02-07,18000.0
ORD10019,CUST2654,Aditya Singh,36,Male,Mumbai,Monitor,Electronics,3,14000,0.15,Net Banking,2025-12-27,35700.0
ORD10020,CUST1407,Aarav Sharma,37,Female,Chennai,Mobile Phone,Electronics,3,25000,0.0,Net Banking,2025-04-17,75000.0
ORD10021,CUST2416,Arjun More,24,Male,Chennai,Mouse,Accessories,4,900,0.1,UPI,2025-11-27,3240.0
ORD10022,CUST1438,Rahul Kulkarni,59,Female,Nashik,Laptop,Electronics,2,55000,0.05,Debit Card,2025-04-03,104500.0
ORD10023,CUST2111,Riya Patil,52,Male,Chennai,Camera,Electronics,5,35000,0.05,Debit Card,2025-04-28,166250.0
ORD10024,CUST1405,Priya Verma,36,Female,Delhi,Monitor,Electronics,5,14000,0.2,Cash,2025-10-05,56000.0
ORD10025,CUST1275,Kavya More,34,Male,Kolkata,Printer,Office,3,12000,0.15,UPI,2025-07-27,30600.0
